Название песни;Альбом;Слово;Лемма;Часть речи;Падеж;Число;Время;Лицо;Форма прилагательного
Персидский тигр;Курара, 2006;твой;твой;ADJF;винительный;единственное;-;-;полная
Персидский тигр;Курара, 2006;прадед;прадед;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;был;быть;VERB;-;единственное;прошедшее;-;-
Персидский тигр;Курара, 2006;персидским;персидский;ADJF;творительный;единственное;-;-;полная
Персидский тигр;Курара, 2006;тигром;тигр;NOUN;творительный;единственное;-;-;-
Персидский тигр;Курара, 2006;острый;острый;ADJF;именительный;единственное;-;-;полная
Персидский тигр;Курара, 2006;клык;клык;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;на;на;PREP;-;-;-;-;-
Персидский тигр;Курара, 2006;рёбрах;ребро;NOUN;предложный;множественное;-;-;-
Персидский тигр;Курара, 2006;кровь;кровь;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;рвутся;рваться;VERB;-;множественное;настоящее;3;-
Персидский тигр;Курара, 2006;стропы;строп;NOUN;винительный;множественное;-;-;-
Персидский тигр;Курара, 2006;сердце;сердце;NOUN;винительный;единственное;-;-;-
Персидский тигр;Курара, 2006;топот;топот;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;ты;ты;NPRO;-;-;-;-;-
Персидский тигр;Курара, 2006;кошка;кошка;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;не;не;PRCL;-;-;-;-;-
Персидский тигр;Курара, 2006;надо;надо;PRED;-;-;-;-;-
Персидский тигр;Курара, 2006;слов;слово;NOUN;родительный;множественное;-;-;-
Персидский тигр;Курара, 2006;короли;король;NOUN;именительный;множественное;-;-;-
Персидский тигр;Курара, 2006;курара;курар;NOUN;родительный;единственное;-;-;-
Персидский тигр;Курара, 2006;когда;когда;CONJ;-;-;-;-;-
Персидский тигр;Курара, 2006;был;быть;VERB;-;единственное;прошедшее;-;-
Персидский тигр;Курара, 2006;королём;король;NOUN;творительный;единственное;-;-;-
Персидский тигр;Курара, 2006;когда;когда;CONJ;-;-;-;-;-
Персидский тигр;Курара, 2006;брал;брать;VERB;-;единственное;прошедшее;-;-
Персидский тигр;Курара, 2006;за;за;PREP;-;-;-;-;-
Персидский тигр;Курара, 2006;кадык;кадык;NOUN;именительный;единственное;-;-;-
Персидский тигр;Курара, 2006;высоту;высота;NOUN;винительный;единственное;-;-;-
Персидский тигр;Курара, 2006;когда;когда;CONJ;-;-;-;-;-
