альбом;название_песни;слово;лемма;часть_речи;род;число;падеж;время;лицо;наклонение;вид;залог;степень;возвратность;одушевленность;переходность
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Здравствуйте;здравствуйте;INTJ;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;дети;ребёнок;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;всем;весь;ADJF;;множественное;дательный;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;радиоточкам;радиоточка;NOUN;женский;множественное;дательный;;;;;;;;неодушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мы;мы;NPRO;;множественное;именительный;;1;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;завтра;завтра;ADVB;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;же;же;PRCL;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;срочно;срочно;ADVB;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;идём;идти;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;войну;война;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;вам;вы;NPRO;;множественное;дательный;;2;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;каскадеры;каскадёр;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;С;с;PREP;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;первым;первый;ADJF;мужской;единственное;творительный;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;рассветом;рассвет;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;мы;мы;NPRO;;множественное;именительный;;1;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;посмеёмся;посмеяться;VERB;;множественное;;будущее;1;изъявительное;совершенный;;;;;непереходный
Здравствуйте, дети!, 2004;Здравствуйте, дети!;над;над;PREP;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ночью;ночью;ADVB;;;;;;;;;;;;
