альбом;название_песни;слово;лемма;часть_речи;род;число;падеж;время;лицо;наклонение;вид;залог;степень;возвратность;одушевленность;переходность;имена_собственные;таксономия;подтема_инструментов;таксономия_прилагательных
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Здравствуйте;здравствуйте;INTJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;дети;ребёнок;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;лица;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;всем;все;NPRO;;множественное;дательный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;радиоточкам;радиоточка;NOUN;женский;множественное;дательный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;завтра;завтра;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;же;же;PRCL;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;срочно;срочно;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;идём;идти;VERB;;множественное;;настоящее;1;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;войну;война;NOUN;женский;единственное;винительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;вам;вы;NPRO;;множественное;дательный;;2;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;каскадеры;каскадёр;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;С;с;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;первым;первый;ANUM;мужской;единственное;творительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;рассветом;рассвет;NOUN;мужской;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;посмеёмся;посмеяться;VERB;;множественное;;будущее;1;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;над;над;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ночью;ночью;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;И;и;CONJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ваши;ваш;APRO;;множественное;именительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;заточки;заточка;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;убьют;убить;VERB;;множественное;;будущее;3;изъявительное;совершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;нас;мы;NPRO;;множественное;родительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;к;к;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;утру;утро;NOUN;средний;единственное;дательный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;вам;вы;NPRO;;множественное;дательный;;2;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;живодёры;живодёр;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Небо;небо;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;манит;манить;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;переходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Сердце;сердце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;стонет;стонать;VERB;;единственное;;настоящее;3;изъявительное;несовершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мир;мир;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;в;в;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;кармане;карман;NOUN;мужской;единственное;предложный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ладони;ладонь;NOUN;женский;множественное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Здравствуйте;здравствуйте;INTJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;сёстры;сестра;NOUN;женский;множественное;именительный;;;;;;;;одушевлённое;;;лица;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;возбудились;возбудиться;VERB;;множественное;;прошедшее;;изъявительное;совершенный;;;;;непереходный;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;на;на;PREP;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;солнце;солнце;NOUN;средний;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Мы;мы;NPRO;;множественное;именительный;;1;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;ранены;ранить;PRTS;;множественное;;прошедшее;;;несовершенный;страдательный;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;остро;остро;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;безумной;безумный;ADJF;женский;единственное;родительный;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;хандрой;хандра;NOUN;женский;единственное;творительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;привет;привет;NOUN;мужской;единственное;именительный;;;;;;;;неодушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;вам;вы;NPRO;;множественное;дательный;;2;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;билетёры;билетёр;NOUN;мужской;множественное;именительный;;;;;;;;одушевлённое;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;Всё;всё;PRCL;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;очень;очень;ADVB;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;просто;просто;PRCL;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;и;и;CONJ;;;;;;;;;;;;;;;;
Здравствуйте, дети!, 2004;Здравствуйте, дети!;налегая;налегать;GRND;;;;настоящее;;;несовершенный;;;;;непереходный;;;;
